name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
민트초코팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,75g,540,60.0,5.33,,,,,,,,,,,,,0.0,,,,,
백옥강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,408,87.0,7.0,,,,,,,,,,,,,0.0,,,,,
버터솔트팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,100g,545,58.0,8.0,,,,,,,,,,,,,0.0,,,,,
버터갈릭맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,80g,581,50.0,7.5,,,,,,,,,,,,,0.0,,,,,
버터핑거팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,149g,507,59.73,6.71,,,,,,,,,,,,,0.0,,,,,
빠다팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,100g,575,51.0,9.0,,,,,,,,,,,,,0.0,,,,,
뻥이요치즈맛,뻥튀기,떡·빵·과자류,255g,450,78.0,5.0,,,,,,,,,,,,,0.0,,,,,
소프트팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,55g,591,54.55,3.64,,,,,,,,,,,,,0.0,,,,,
순수팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,50g,478,68.8,9.0,,,,,,,,,,,,,0.0,,,,,
스니커즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,149g,537,59.73,6.71,,,,,,,,,,,,,0.0,,,,,
스위트버터팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,240g,517,63.33,5.67,,,,,,,,,,,,,0.0,,,,,
스윗솔트팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,450g,527,64.89,4.0,,,,,,,,,,,,,0.0,,,,,
스키니팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,18g,444,66.67,9.44,,,,,,,,,,,,,0.0,,,,,
스트로베리초콜릿팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,25g,480,68.0,5.6,,,,,,,,,,,,,0.0,,,,,
스파이시러버팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,35g,557,54.29,8.57,,,,,,,,,,,,,0.0,,,,,
시나몬카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,30g,390,80.0,4.0,,,,,,,,,,,,,0.0,,,,,
시네마갈릭맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,60g,567,51.67,6.67,,,,,,,,,,,,,0.0,,,,,
시네마버터팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,593,57.14,7.14,,,,,,,,,,,,,0.0,,,,,
시네마팝콘버터갈릭,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,90g,520,63.22,7.33,,,,,,,,,,,,,0.0,,,,,
시네마팝콘치즈갈릭맛,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,35g,514,54.29,8.57,,,,,,,,,,,,,0.0,,,,,
시네마팝콘카라멜,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,90g,519,66.11,5.89,,,,,,,,,,,,,0.0,,,,,
신선도원고소한맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,200g,548,57.5,8.5,,,,,,,,,,,,,0.0,,,,,
신선도원버터갈릭팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,120g,575,49.17,6.67,,,,,,,,,,,,,0.0,,,,,
신선도원카라멜맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,350g,509,69.71,4.57,,,,,,,,,,,,,0.0,,,,,
신선도원콘소메맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,120g,500,62.5,8.33,,,,,,,,,,,,,0.0,,,,,
쌀로만든팝콘딸기맛나,이색맛 팝콘,곡물·튀김·팝콘 스낵,50g,384,86.0,5.0,,,,,,,,,,,,,0.0,,,,,
쌀로만든팝콘망고맛나,이색맛 팝콘,곡물·튀김·팝콘 스낵,50g,392,88.0,5.8,,,,,,,,,,,,,0.0,,,,,
쌀로만든팝콘베리베리,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,50g,394,88.0,5.6,,,,,,,,,,,,,0.0,,,,,
쌀로만든팝콘청포도맛,이색맛 팝콘,곡물·튀김·팝콘 스낵,50g,388,88.0,5.6,,,,,,,,,,,,,0.0,,,,,
씨네마팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,43g,500,65.12,6.51,,,,,,,,,,,,,0.0,,,,,
어니언팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,20g,400,70.0,6.0,,,,,,,,,,,,,0.0,,,,,
영화관팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,564,60.0,6.57,,,,,,,,,,,,,0.0,,,,,
오리지날팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,18g,433,61.11,8.33,,,,,,,,,,,,,0.0,,,,,
오리지널버터팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,200g,548,57.5,8.5,,,,,,,,,,,,,0.0,,,,,
오리지널팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,125g,484,68.0,9.6,,,,,,,,,,,,,0.0,,,,,
이게진짜뻥이요,뻥튀기,떡·빵·과자류,110g,455,80.0,4.55,,,,,,,,,,,,,0.0,,,,,
인디카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,180g,433,78.89,3.33,,,,,,,,,,,,,0.0,,,,,
인디팝콘밀크초코,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,250g,446,76.0,4.0,,,,,,,,,,,,,0.0,,,,,
인디팝콘패밀리팩,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,100g,527,61.0,7.27,,,,,,,,,,,,,0.0,,,,,
인절미맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,120g,525,62.5,6.67,,,,,,,,,,,,,0.0,,,,,
있는그대로찰강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,130g,417,83.33,11.67,,,,,,,,,,,,,0.0,,,,,
장성규의선넘은팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,100g,545,58.0,8.0,,,,,,,,,,,,,0.0,,,,,
조안나팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,65g,485,78.46,4.62,,,,,,,,,,,,,0.0,,,,,
진팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,50g,478,68.0,8.0,,,,,,,,,,,,,0.0,,,,,
찰강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,400g,417,86.67,6.67,,,,,,,,,,,,,0.0,,,,,
찰옥수수강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,120g,400,85.83,11.67,,,,,,,,,,,,,0.0,,,,,
천마표시멘트팝콘,쌀튀밥,떡·빵·과자류,80g,525,65.0,5.0,,,,,,,,,,,,,0.0,,,,,
추억의뻥이요,뻥튀기,떡·빵·과자류,120g,450,81.67,5.0,,,,,,,,,,,,,0.0,,,,,
추억의허니뻥이요,뻥튀기,떡·빵·과자류,120g,475,73.33,5.0,,,,,,,,,,,,,0.0,,,,,
충주사과팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,60g,488,69.17,5.33,,,,,,,,,,,,,0.0,,,,,
치즈카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,40g,475,75.0,5.0,,,,,,,,,,,,,0.0,,,,,
카라멜딸기맛팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,70g,464,78.57,2.86,,,,,,,,,,,,,0.0,,,,,
카라멜솔트팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,436,80.0,5.14,,,,,,,,,,,,,0.0,,,,,
카라멜글레이즈드팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,450g,497,72.9,4.19,,,,,,,,,,,,,0.0,,,,,
카라멜맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,60g,450,75.0,6.67,,,,,,,,,,,,,0.0,,,,,
카라멜케틀콘,옥수수 스낵,곡물·튀김·팝콘 스낵,180g,550,62.0,5.0,,,,,,,,,,,,,0.0,,,,,
카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,30g,390,80.0,4.0,,,,,,,,,,,,,0.0,,,,,
캐러멜맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,,459,77.74,4.77,22.0,143.0,1.42,,,8.6,,,,,,69.0,2.466,,,0.44,0.0,
코울슬로맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,60g,492,60.0,8.33,,,,,,,,,,,,,0.0,,,,,
코코넛피넛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,121g,459,82.64,2.48,,,,,,,,,,,,,0.0,,,,,
콘소메맛팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,80g,500,62.5,8.75,,,,,,,,,,,,,0.0,,,,,
트리플치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,80g,525,57.5,8.75,,,,,,,,,,,,,0.0,,,,,
트윅스팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,149g,507,63.09,3.36,,,,,,,,,,,,,0.0,,,,,
팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,300g,395,88.0,0.0,,,,,,,,,,,,,0.0,,,,,
팝콘버터솔트,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,400g,517,56.67,8.33,,,,,,,,,,,,,0.0,,,,,
팝콘오리지널,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,45g,522,57.78,7.33,,,,,,,,,,,,,0.0,,,,,
포켓팝콘딸기맛,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,25g,440,80.0,2.0,,,,,,,,,,,,,0.0,,,,,
포켓팝콘화이트블러썸,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,25g,520,64.0,4.0,,,,,,,,,,,,,0.0,,,,,
프레첼카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,75g,453,76.0,4.0,,,,,,,,,,,,,0.0,,,,,
허니버터강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,70g,464,80.0,4.29,,,,,,,,,,,,,0.0,,,,,
화이팅강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,408,88.0,8.0,,,,,,,,,,,,,0.0,,,,,
흑당팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,75g,473,74.67,4.0,,,,,,,,,,,,,0.0,,,,,
허니뻥이요,뻥튀기,떡·빵·과자류,255g,475,73.0,5.0,,,,,,,,,,,,,0.0,,,,,
뻥이요허니,뻥튀기,떡·빵·과자류,300g,500,73.0,5.0,,,,,,,,,,,,,0.0,,,,,
골드뻥이요,뻥튀기,떡·빵·과자류,60g,450,81.67,5.0,,,,,,,,,,,,,0.0,,,,,
뻥이요,뻥튀기,떡·빵·과자류,302g,460,83.0,5.0,,,,,,,,,,,,,0.0,,,,,
뻥이요골드,뻥튀기,떡·빵·과자류,60g,450,81.67,5.0,,,,,,,,,,,,,0.0,,,,,
뻥이요오리지널,뻥튀기,떡·빵·과자류,140g,454,83.57,4.29,,,,,,,,,,,,,0.0,,,,,
뻥이요카라멜,뻥튀기,떡·빵·과자류,240g,475,76.0,5.0,,,,,,,,,,,,,0.0,,,,,
시그니처스리라차팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,1700g,568,57.62,4.69,,,,,,,,,,,,,0.0,,,,,
춘식이고구마팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,140g,502,68.06,4.59,,,,,,,,,,,,,0.0,,,,,
씨네마팝콘카라멜맛,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,75g,515,68.34,4.25,,,,,,,,,,,,,0.0,,,,,
고소한옛날강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,300g,330,65.0,6.5,,,,,,,,,,,,,0.0,,,,,
국산황옥수수,옥수수 스낵,곡물·튀김·팝콘 스낵,280g,390,85.0,11.0,,,,,,,,,,,,,0.0,,,,,
국산황옥수수강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,280g,390,85.0,11.0,,,,,,,,,,,,,0.0,,,,,
다르다케이팝콘치즈,이색맛 팝콘,곡물·튀김·팝콘 스낵,40g,541,54.76,8.64,,,,,,,,,,,,,0.0,,,,,
단쌉스윗마더팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,60ml,430,77.59,7.06,,,,,,,,,,,,,0.0,,,,,
단쌉인생팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,60ml,424,79.47,5.61,,,,,,,,,,,,,0.0,,,,,
메가치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,210g,585,52.0,7.0,,,,,,,,,,,,,0.0,,,,,
베리베리팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,80g,703,74.38,4.98,,,,,,,,,,,,,0.0,,,,,
브라운치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,75g,576,55.32,4.54,,,,,,,,,,,,,0.0,,,,,
상큼한충주딸기팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,60g,407,76.23,7.32,,,,,,,,,,,,,0.0,,,,,
스위트갈릭팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,15g,400,53.33,8.67,,,,,,,,,,,,,0.0,,,,,
요거트크림치즈팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,572,56.15,4.18,,,,,,,,,,,,,0.0,,,,,
카라멜믹스팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,541,60.71,5.74,,,,,,,,,,,,,0.0,,,,,
케이팝콘곤약,이색맛 팝콘,곡물·튀김·팝콘 스낵,450g,382,90.63,6.33,,,,,,8.1,,,,,,,0.0,,,,,
허니버터팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,80g,670,70.93,5.53,,,,,,,,,,,,,0.0,,,,,
혜성팝콘강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,200g,407,86.0,12.0,,,,,,,,,,,,,0.0,,,,,
크리미카라멜팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,140g,404,80.36,4.92,,,,,,,,,,,,,0.0,,,,,
고구마팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,2000g,502,68.06,4.59,,,,,,,,,,,,,0.0,,,,,
양파사워크림팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,1000g,563,57.41,4.87,,,,,,,,,,,,,0.0,,,,,
쿵야양파사워크림팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,75g,563,57.41,4.87,,,,,,,,,,,,,0.0,,,,,
시네마팝콘카라멜버터,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,43g,524,65.97,5.33,,,,,,,,,,,,,0.0,,,,,
케이팝칩그릴드케밥,이색맛 팝콘,곡물·튀김·팝콘 스낵,50g,482,69.51,7.23,,,,,,,,,,,,,0.0,,,,,
케이팝콘그릴드케밥,이색맛 팝콘,곡물·튀김·팝콘 스낵,55g,482,69.51,7.23,,,,,,,,,,,,,0.0,,,,,
믹스팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,420g,489,73.2,4.37,,,,,,,,,,,,,0.0,,,,,
양파뻥튀기,뻥튀기,떡·빵·과자류,100g,389,86.64,9.95,,,,,,,,,,,,,0.0,,,,,
감성뻥튀기,뻥튀기,떡·빵·과자류,180g,380,79.0,12.0,,,,,,,,,,,,,0.0,,,,,
국내산강냉이,옥수수 스낵,곡물·튀김·팝콘 스낵,180g,340,70.0,6.0,,,,,,,,,,,,,0.0,,,,,
금빛여의주황치즈팝콘,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,70g,431,73.04,3.61,,,,,,,,,,,,,0.0,,,,,
까까옥수수롱뻥,뻥튀기,떡·빵·과자류,30g,373,83.33,6.67,,,,,,,,,,,,,0.0,,,,,
누룽지뻥튀기옛날과자,쌀튀밥,떡·빵·과자류,500g,388,77.0,14.06,,,,,,,,,,,,,0.0,,,,,
뉴욕치즈버거맛팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,100g,498,59.89,5.15,,,,,,,,,,,,,0.0,,,,,
레인보우팝뻥튀기,다채로운 맛 팝콘,곡물·튀김·팝콘 스낵,18g,509,75.89,5.83,,,,,,,,,,,,,0.0,,,,,
롯데시네마제로팝콘,다양한 맛 팝콘,곡물·튀김·팝콘 스낵,70g,456,80.03,4.45,,,,,,,,,,,,,0.0,,,,,
미니오색뻥,뻥튀기,떡·빵·과자류,100g,385,79.7,11.54,,,,,,,,,,,,,0.0,,,,,
미친오트밀오트뻥,뻥튀기,떡·빵·과자류,100g,397,86.88,8.37,,,,,,,,,,,,,0.0,,,,,
바바고구마롱떡뻥,뻥튀기,떡·빵·과자류,100g,394,80.83,8.52,,,,,,,,,,,,,0.0,,,,,
바바단호박떡뻥,뻥튀기,떡·빵·과자류,100g,381,84.28,7.98,,,,,,,,,,,,,0.0,,,,,
바바단호박롱떡뻥,뻥튀기,떡·빵·과자류,100g,396,80.84,8.6,,,,,,,,,,,,,0.0,,,,,
바바당근떡뻥,뻥튀기,떡·빵·과자류,100g,381,83.53,8.29,,,,,,,,,,,,,0.0,,,,,
바바당근롱떡뻥,뻥튀기,떡·빵·과자류,100g,399,80.31,8.81,,,,,,,,,,,,,0.0,,,,,
바바백미떡뻥,뻥튀기,떡·빵·과자류,100g,388,87.11,6.59,,,,,,,,,,,,,0.0,,,,,
바바브로콜리롱떡뻥,뻥튀기,떡·빵·과자류,100g,397,80.38,8.83,,,,,,,,,,,,,0.0,,,,,
바바현미롱떡뻥,쌀튀밥,떡·빵·과자류,100g,392,79.35,8.62,,,,,,,,,,,,,0.0,,,,,
백미뻥,뻥튀기,떡·빵·과자류,55g,400,89.09,7.27,,,,,,,,,,,,,0.0,,,,,
베베모메고구마롱떡뻥,뻥튀기,떡·빵·과자류,30g,379,84.43,7.53,,,,,,,,,,,,,0.0,,,,,
베베모메단호박떡뻥,뻥튀기,떡·빵·과자류,30g,371,85.37,6.87,,,,,,,,,,,,,0.0,,,,,
베베모메단호박롱떡뻥,뻥튀기,떡·빵·과자류,30g,368,82.37,6.8,,,,,,,,,,,,,0.0,,,,,
베베모메당근떡뻥,뻥튀기,떡·빵·과자류,30g,376,86.33,7.1,,,,,,,,,,,,,0.0,,,,,
베베모메당근롱떡뻥,뻥튀기,떡·빵·과자류,30g,380,84.1,8.03,,,,,,,,,,,,,0.0,,,,,
베베모메백미떡뻥,뻥튀기,떡·빵·과자류,30g,369,85.07,6.5,,,,,,,,,,,,,0.0,,,,,
베베모메현미롱떡뻥,뻥튀기,떡·빵·과자류,30g,374,84.47,5.77,,,,,,,,,,,,,0.0,,,,,
빠다어니언팝콘,이색맛 팝콘,곡물·튀김·팝콘 스낵,60g,566,50.87,6.9,,,,,,,,,,,,,0.0,,,,,
뻥과자,쌀튀밥,떡·빵·과자류,120g,106,19.83,2.0,,,,,,,,,,,,,0.0,,,,,
뻥치면반하나,뻥튀기,떡·빵·과자류,18g,519,65.61,5.0,,,,,,,,,,,,,0.0,,,,,
산골떡뻥단호박,뻥튀기,떡·빵·과자류,20g,388,89.1,6.6,,,,,,,,,,,,,0.0,,,,,
산골떡뻥백미,뻥튀기,떡·빵·과자류,20g,388,89.5,6.2,,,,,,,,,,,,,0.0,,,,,
쌀집아줌마곰돌이떡뻥,쌀튀밥,떡·빵·과자류,100g,392,87.65,7.99,,,,,,,,,,,,,0.0,,,,,
쌀집아줌마꽃떡뻥,쌀튀밥,떡·빵·과자류,100g,396,87.33,7.86,,,,,,,,,,,,,0.0,,,,,
쌀집아줌마토끼떡뻥,쌀튀밥,떡·빵·과자류,100g,392,87.65,7.99,,,,,,,,,,,,,0.0,,,,,
쌀집아줌마하트떡뻥,쌀튀밥,떡·빵·과자류,100g,392,87.65,7.99,,,,,,,,,,,,,0.0,,,,,
아가애라이스팝팝감귤,뻥튀기,떡·빵·과자류,25g,400,88.0,8.0,,,,,,,,,,,,,0.0,,,,,
아이배냇동그리뻥백미,쌀튀밥,떡·빵·과자류,15g,347,80.0,6.67,,,,,,,,,,,,,0.0,,,,,
아이배냇롱떡뻥단호박,뻥튀기,떡·빵·과자류,30g,350,73.33,6.67,,,,,,,,,,,,,0.0,,,,,
아이배냇롱떡뻥시금치,뻥튀기,떡·빵·과자류,30g,350,73.33,6.67,,,,,,,,,,,,,0.0,,,,,
엄지유통커리맛롱뻥,뻥튀기,떡·빵·과자류,50g,587,53.12,4.18,,,,,,,,,,,,,0.0,,,,,
